pitch_arsenals
last_name, first_name,ff_avg_speed,injury
Duran, Jhoan,100.8,0
Muñoz, Andrés,100.2,0
Hicks, Jordan,100.1,0
Clase, Emmanuel,99.9,0
Helsley, Ryan,99.6,1
Graterol, Brusdar,99.4,0
Bautista, Félix,99.2,1
Díaz, Edwin,99.1,0
Fairbanks, Pete,99,1
Greene, Hunter,98.9,0
deGrom, Jacob,98.9,1
Fernández, Junior,98.8,0
Soto, Gregory,98.7,0
Ortiz, Luis,98.4,0
Stanek, Ryne,98.3,0
Harvey, Hunter,98.3,0
Guerra, Javy,98.3,0
Bender, Anthony,98.3,1
Strider, Spencer,98.2,0
Loáisiga, Jonathan,98.2,0
May, Dustin,98.1,0
Alcantara, Sandy,98,0
Holmes, Clay,98,0
Megill, Trevor,98,1
Suarez, Robert,97.9,0
Tapia, Domingo,97.9,0
Cole, Gerrit,97.8,0
Bard, Daniel,97.8,0
Alvarado, José,97.8,0
Marte, Yunior,97.8,0
Santana, Dennis,97.7,0
Hendriks, Liam,97.6,0
Domínguez, Seranthony,97.6,0
Abreu, Albert,97.6,0
Coleman, Dylan,97.5,0
Estévez, Carlos,97.5,0
Chapman, Aroldis,97.5,0
García, Luis,97.4,0
Glasnow, Tyler,97.4,1
Ohtani, Shohei,97.3,0
López, Jorge,97.3,0
Bush, Matt,97.3,0
Brazoban, Huascar,97.3,0
Merryweather, Julian,97.3,0
Vizcaíno, Arodys,97.3,0
Abreu, Bryan,97.2,0
Castillo, Luis,97.1,0
López, Reynaldo,97.1,0
Kelly, Joe,97.1,0
Bello, Brayan,97,0
Pérez, Cionel,97,0
Rainey, Tanner,97,1
Sborz, Josh,97,1
Hudson, Daniel,97,0
Gose, Anthony,97,1
Coonrod, Sam,97,0
Scott, Tanner,96.9,0
Ruiz, José,96.9,0
Romano, Jordan,96.9,0
Brash, Matt,96.9,0
Morejon, Adrian,96.9,0
Frías, Luis,96.9,0
Cease, Dylan,96.8,0
Hernández, Carlos,96.8,0
